date	close
1-May-70	3.0612200021
1-May-71	3.0507016685
1-May-72	2.812499999
1-May-73	2.4573666658
1-May-74	2.4368666658
1-May-75	2.3712999991
1-May-76	2.4708416659
1-May-77	2.4393999993
1-May-78	2.2740249992
1-May-79	2.1745583325
1-May-80	2.1412083326
1-May-81	2.112691666
1-May-82	2.1400249992
1-May-83	2.113049999
1-May-84	2.133083333
1-May-85	2.2001499997
1-May-86	2.1774166665
1-May-87	2.1059833333
1-May-88	2.012425
1-May-89	1.9502583333
1-May-90	1.8125333333
1-May-91	1.72755
1-May-92	1.6289666667
1-May-93	1.6157908333
1-May-94	1.5274441667
1-May-95	1.417375
1-May-96	1.4100408333
1-May-97	1.4848058333
1-May-98	1.6736016667
1-May-99	1.6949566667
1-May-00	1.7239633333
1-May-01	1.7917225
1-May-02	1.7905883333
1-May-03	1.7421833333
1-May-04	1.6902283333
1-May-05	1.6643975
1-May-06	1.5889333333
1-May-07	1.5071016667
1-May-08	1.4148608333
1-May-09	1.4545147134
1-May-10	1.3635083333
1-May-11	1.2577758772
1-May-12	1.2496762037
1-May-13	1.2513
1-May-14	1.26705
1-May-15	1.374825
1-May-16	1.3815463636
