date	close
1-May-70	360.000000359
1-May-71	350.6776935334
1-May-72	303.172499999
1-May-73	271.7016666661
1-May-74	292.0824999993
1-May-75	296.7874999992
1-May-76	296.5524999992
1-May-77	268.5099999993
1-May-78	210.441666666
1-May-79	219.1399999993
1-May-80	226.7408333328
1-May-81	220.5358333328
1-May-82	249.0766666658
1-May-83	237.5116666661
1-May-84	237.5224999993
1-May-85	238.5358333328
1-May-86	168.5198333331
1-May-87	144.6375
1-May-88	128.1516666667
1-May-89	137.9644166667
1-May-90	144.7925
1-May-91	134.7066666667
1-May-92	126.6513333333
1-May-93	111.1977858333
1-May-94	102.2078058333
1-May-95	94.0595791667
1-May-96	108.7790566667
1-May-97	120.9908625
1-May-98	130.9053006667
1-May-99	113.906805
1-May-00	107.7654983333
1-May-01	121.5289475
1-May-02	125.3880191667
1-May-03	115.9334641667
1-May-04	108.1925691667
1-May-05	110.2182116667
1-May-06	116.2993116667
1-May-07	117.7535291667
1-May-08	103.3594939683
1-May-09	93.570089087
1-May-10	87.779875
1-May-11	79.8070198322
1-May-12	79.790455417
1-May-13	97.5956582776
1-May-14	105.944781034
1-May-15	121.044025684
1-May-16	108.7929000468
