date	close
1-May-70	2.4618094551			
1-May-71	2.4618094551			
1-May-72	2.2450669559			
1-May-73	1.9894159741			
1-May-74	1.961199999			
1-May-75	1.859799999			
1-May-76	1.941399999			
1-May-77	1.857823802			
1-May-78	1.683599999			
1-May-79	1.554999999			
1-May-80	1.498399999			
1-May-81	1.7045333325			
1-May-82	1.8925416658			
1-May-83	1.9756749992			
1-May-84	2.3200416663			
1-May-85	2.9366583333			
1-May-86	3.4527916666			
1-May-87	3.7221			
1-May-88	3.7221			
1-May-89	3.7651083333			
1-May-90	4.7832083333			
1-May-91	5.3233916667			
1-May-92	5.5145916667			
1-May-93	5.7619583333			
1-May-94	8.6187426667			
1-May-95	8.3514166667			
1-May-96	8.314175			
1-May-97	8.2898166667			
1-May-98	8.2789583333			
1-May-99	8.27825			
1-May-00	8.2785041667			
1-May-01	8.2770683333			
1-May-02	8.2769575			
1-May-03	8.2770366667			
1-May-04	8.2768008333			
1-May-05	8.1943166667			
1-May-06	7.9734383333			
1-May-07	7.6075325			
1-May-08	6.948655			
1-May-09	6.8314160518			
1-May-10	6.7702690287			
1-May-11	6.4614613266			
1-May-12	6.3123328268			
1-May-13	6.1957583461			
1-May-14	6.1434340945			
1-May-15	6.227488673			
1-May-16	6.6444778294			
