date	close
1-May-70	3.0612200021
1-May-71	3.0522604298
1-May-72	2.8195558683
1-May-73	2.4433296549
1-May-74	2.4070666659
1-May-75	2.3937833332
1-May-76	2.5415749992
1-May-77	2.4612833324
1-May-78	2.3160416658
1-May-79	2.1884416659
1-May-80	2.1768833324
1-May-81	2.3041249992
1-May-82	2.3353916658
1-May-83	2.3212499992
1-May-84	2.3436416662
1-May-85	2.4830416667
1-May-86	2.5814416667
1-May-87	2.5196383333
1-May-88	2.6187833333
1-May-89	2.7088416667
1-May-90	2.704875
1-May-91	2.7500666667
1-May-92	2.5473833333
1-May-93	2.574095
1-May-94	2.6242566667
1-May-95	2.5044041667
1-May-96	2.5159425
1-May-97	2.8131916667
1-May-98	3.924375
1-May-99	3.8
1-May-00	3.8
1-May-01	3.8
1-May-02	3.8
1-May-03	3.8
1-May-04	3.8
1-May-05	3.7870916667
1-May-06	3.6681769583
1-May-07	3.4375693823
1-May-08	3.3358333333
1-May-09	3.5245029107
1-May-10	3.2210869147
1-May-11	3.0600030105
1-May-12	3.0888008666
1-May-13	3.1509085501
1-May-14	3.2728597464
1-May-15	3.905500263
1-May-16	4.148294959
